University,Instagram Followers,Instagram Following,Instagram Posts,Twitter Followers,Twitter Following,Tweets
UCLA,210088,83,807,178092,318,11735
UC Berkeley,148210,217,"1,511",166497,368,16405
University of Virginia,83991,204,"1,642",84710,1559,25319
University of Michigan,227342,206,"3,106",218590,809,24470
UCSB,42746,119,703,41971,7194,6532
UNC-Chapel Hill,97260,360,"1,626",120047,1658,29681
UCI UC Irvine,48936,198,"2,393",63051,518,10500
Georgia Tech,58388,2509,"2,173",169921,4044,12725
University of Florida,146528,475,"1,400",186919,575,48480
William & Mary,25384,227,951,31644,233,8476
UC Davis,58022,242,"1,687",47462,997,25677
UC San Diego,29380,31,430,34457,5073,16745
University of Georgia,108393,343,"2,110",106103,520,15203
University of Illinois,52505,1774,"1,543",76172,8551,36681
UT Austin,99946,150,"1,033",215950,1323,22578
The Ohio State University,195069,174,"2,421",322002,697,21428
Rutgers University,34743,370,"1,947",131021,578,14898
Penn State University,140789,327,"2,841",204814,1022,31452
University of Washington,104362,174,"1,116",157645,1987,14765
